"Question name","#","Section","Question Id","Question text","Question type"
"BP1-3","227","Blood pressure ","1509003","Translate from English to French: Heart Rate Reading 1","Integer"
"BP1-4","228","Blood pressure ","1509004","Translate from English to French: Blood Pressure Systolic Reading 2","Integer"
"BP1-5","229","Blood pressure ","1509005","Translate from English to French: Blood Pressure Diastolic Reading 2","Integer"
"BP1-6","230","Blood pressure ","1509006","Translate from English to French: Heart Rate Reading 2","Integer"
"BP1-7","231","Blood pressure ","1509007","Translate from English to French: Blood Pressure Systolic Reading 3","Integer"
"BP1-8","232","Blood pressure ","1509008","Translate from English to French: Blood Pressure Diastolic Reading 3","Integer"
"BP1-9","233","Blood pressure ","1509009","Translate from English to French: Heart Rate Reading 3","Integer"
"BP1-10","234","Blood pressure ","1509010","Translate from English to French: Field notes in case in case of any issues that need to be documented with blood pressure monitoring","Select One"
"BP1-10a","235","Blood pressure ","1509011","Translate from English to French: Other Notes","Single Line"
"BP1-11","236","Blood pressure ","1509012","Translate from English to French: During the past two weeks, have you been treated for raised blood pressure with drugs (medication) prescribed by a doctor or other health worker?","Single Line"
"Height","237","Other health questions ","1509226","Translate from English to French: Record Height","Integer"
"Weight","238","Other health questions ","1509227","Translate from English to French: Record weight","Integer"
"G12-1","239","Alcohol Consumption ","1509013","Translate from English to French: Have you consumed an alcoholic drink such as beer, wine, spirits, fermented drink in the past 12 months?","Select One"
"G12-2","240","Alcohol Consumption ","1509014","Translate from English to French: During the past 12 months, how frequently have you had at least one alcoholic drink?","Select One"
"G12-3","241","Alcohol Consumption ","1509015","Translate from English to French: During the past month, what was the largest number of standard alcoholic drinks you had on a single occasion, counting all types of alcoholic drinks together","Single Line"
"G12-4","242","Alcohol Consumption ","1509016","Translate from English to French: During the past month, how many times did you have for men: five or more for women: four or more
standard alcoholic drinks in a single drinking occasion?","Single Line"
"Number of cylinders owned_2","243","For LPG Users only ","1399372","Translate from English to French: How many LPG cylinders do you have at home?","Integer"
"Size of gas cylinder_2","244","For LPG Users only ","1399373","Translate from English to French: What cylinder size(s) do you use in your home? (allow for multiple choices if they report multiple cylinders in F0","Select Many"
"Cost of refills_2","245","For LPG Users only ","1399374","Translate from English to French: How much do you pay for a gas refills? (allow for multiple choices if the respondent reports multiple cylinder sizes in F0)","Multi Line"
"Duration of use of a cylinder_2","246","For LPG Users only ","1399375","Translate from English to French: How long does your cylinder last before you buy another refill?","Select One"
"H4a","247","For LPG Users only ","1509799","Translate from English to French: Other, specify","Single Line"
"Number of annual refills_2","248","For LPG Users only ","1399376","Translate from English to French: In a typical year, how many refills do you buy? (allow for multiple choices if the respondent reports multiple cylinder sizes in F0)","Multi Line"
"Duration of LPG use_2","249","For LPG Users only ","1399377","Translate from English to French: When did you start cooking with cooking gas/ LPG?","Select One"
"Number of burners_2","250","For LPG Users only ","1399378","Translate from English to French: How many burners does your LPG stove have?","Select One"
"H6-1","251","For LPG Users only ","1509800","Translate from English to French: Where do you keep your LPG stove?","Select One"
"H6-1a","252","For LPG Users only ","1509801","Translate from English to French: Other, specify","Single Line"
"Duration of use of current stove_2","253","For LPG Users only ","1399379","Translate from English to French: When did you purchase your last LPG stove?","Date"
"Frequency of use_2","254","For LPG Users only ","1399380","Translate from English to French: In the last week, on how many days did you use LPG to cook with? Please specify days (e.g. 1-7).","Integer"
"Mode of transportation of gas_2","255","For LPG Users only ","1399381","Translate from English to French: How do you/ your family bring the cylinder refill home?","Select One"
"Duration of transport_2","256","For LPG Users only ","1399382","Translate from English to French: How long does it take you to reach the nearest shop selling LPG using your usual mode of transport?","Time"
"H11","257","For LPG Users only ","1509802","Translate from English to French: Does it cost to travel to purchase your LPG?","Select One"
"Cost of transport_2","258","For LPG Users only ","1399383","Translate from English to French: How much does it cost to travel to purchase your LPG (one way)?","Integer"
"H12","259","For LPG Users only ","1509803","Translate from English to French: Do you have your LPG delivered?","Select One"
"Cost of home delivery_2","260","For LPG Users only ","1399384","Translate from English to French: How much does home delivery cost?","Integer"
"H13","261","For LPG Users only ","1509804","Translate from English to French: Are you satisfied with your current gas usage (amount of time you use gas for cooking) or would you like to use a different amount?","Select One"
"Experience with cooking gas_1","262"," QUESTIONS FOR HOUSEHOLDS NOT USING LPG","1399386","Translate from English to French: Have you ever cooked with cooking gas / LPG?","Select One"
"I1-1","263"," QUESTIONS FOR HOUSEHOLDS NOT USING LPG","1509819","Translate from English to French: Based on this experience, would you like to use cooking gas/LPG for your daily cooking?","Select One"
"Reasons for non use_2","264"," QUESTIONS FOR HOUSEHOLDS NOT USING LPG","1399387","Translate from English to French: Why are you not currently using bottled gas (LPG) for cooking? [Do not read options, let the respondent to speak freely","Select Many"
"I2a","265"," QUESTIONS FOR HOUSEHOLDS NOT USING LPG","1509821","Translate from English to French: Other, specify","Single Line"
"I2-1","266"," QUESTIONS FOR HOUSEHOLDS NOT USING LPG","1509820","Translate from English to French: At what price would you think the price of a gas burner and equipment is affordable?","Integer"
"Decision maker of gas adoption_2","267"," QUESTIONS FOR HOUSEHOLDS NOT USING LPG","1399388","Translate from English to French: If this household were to start using gas / LPG, who would make that decision?","Select One"
"I3a","268"," QUESTIONS FOR HOUSEHOLDS NOT USING LPG","1509822","Translate from English to French: Other, specify","Single Line"
"Stove Pictures","269","STOVE PICTURES AND FOLLOW-UP","1399405","Translate from English to French: Can I please take picture of your stoves/ cooking devices?","Photo"
"Air quality measurements","270","STOVE PICTURES AND FOLLOW-UP","1399406","Translate from English to French: We would like to measure the air quality in peoples homes and about ones person in a small sample of households.  Would you be in agreement to take part if selected?","Select One"
"Contacts","271","STOVE PICTURES AND FOLLOW-UP","1399407","Translate from English to French: Contact details to arrange appointment for air pollution monitoring.","Free Text"
